time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/entropy_loss,train/value_loss,train/learning_rate,train/clip_range,train/loss,train/clip_fraction,train/std,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/approx_kl
1244,97,59,64.48,-37.23322296142578,120832,-25.90631095170975,193.37241339683533,0.00047888284444444446,0.2,65.3243179321289,0.4349609375,1.114328384399414,580,0.6788458824157715,-0.08719478392158635,0.062434256
1245,98,60,64.93,-36.74640655517578,122880,-25.948243510723113,181.44551348686218,0.0004785187555555556,0.2,40.967140197753906,0.403271484375,1.1162022352218628,590,0.6755052804946899,-0.08148656862322241,0.05323728
1246,100,61,67.68,-32.80455017089844,124928,-25.983425092697143,162.6721887588501,0.0004781546666666667,0.2,54.693214416503906,0.42841796875,1.1193890571594238,600,0.7193515300750732,-0.0834221686469391,0.067114085
1248,101,62,69.12,-30.92449378967285,126976,-26.02686802148819,131.76754088401793,0.00047779057777777773,0.2,55.31029510498047,0.474658203125,1.1219757795333862,610,0.7660197615623474,-0.08658078872831539,0.08746595
1249,103,63,67.85,-32.710758209228516,129024,-26.06408895254135,121.66183428764343,0.0004774264888888889,0.2,46.25068283081055,0.461474609375,1.1245148181915283,620,0.7842932939529419,-0.08756791975756642,0.07710082
1250,104,64,67.25,-33.67280197143555,131072,-26.095673036575317,183.07444767951966,0.00047706239999999997,0.2,53.5328369140625,0.406298828125,1.1254358291625977,630,0.7010366916656494,-0.08165417177951895,0.05940305
1251,106,65,66.87,-34.23783493041992,133120,-26.124186968803407,189.81707038879395,0.0004766983111111111,0.2,57.53561782836914,0.43203125,1.1284500360488892,640,0.6868031024932861,-0.08069700885098427,0.063980766
1251,107,66,66.82,-34.386627197265625,135168,-26.138656163215636,162.21381311416627,0.0004763342222222222,0.2,54.24197769165039,0.422265625,1.128528356552124,650,0.7291533946990967,-0.08570570272859186,0.06352917
1246,110,67,67.49,-33.22048568725586,137216,-26.160558557510377,159.86538105010987,0.00047597013333333335,0.2,56.00484848022461,0.45361328125,1.1310498714447021,660,0.7186638712882996,-0.08584794553753454,0.06580847
1245,111,68,68.94,-30.92658233642578,139264,-26.215512919425965,185.55152015686036,0.00047560604444444444,0.2,44.70972442626953,0.433056640625,1.134869933128357,670,0.6933543086051941,-0.08434510217048227,0.06379667
1244,113,69,68.1,-31.989442825317383,141312,-26.23054255247116,129.87813749313355,0.0004752419555555556,0.2,42.00711441040039,0.4552734375,1.1349204778671265,680,0.770628035068512,-0.08734907890320756,0.07105972
1245,115,70,67.88,-32.27366638183594,143360,-26.243286621570586,175.9889186859131,0.00047487786666666667,0.2,60.49570083618164,0.425341796875,1.1360527276992798,690,0.7427316904067993,-0.08009403013857082,0.06870335
1246,116,71,65.55,-35.59065246582031,145408,-26.28614761829376,159.13932738304138,0.0004745137777777778,0.2,66.52064514160156,0.435888671875,1.1402316093444824,700,0.7500649690628052,-0.08093857817293611,0.070033416
1247,118,72,66.45,-34.37202072143555,147456,-26.343950498104096,173.34935817718505,0.0004741496888888889,0.2,43.29458236694336,0.40068359375,1.143347144126892,710,0.7168400287628174,-0.08347566692973488,0.054368768
1246,119,73,69.28,-30.724998474121094,149504,-26.353425204753876,182.56136074066163,0.00047378560000000005,0.2,66.16343688964844,0.408349609375,1.1428591012954712,720,0.678917646408081,-0.0783913108811248,0.06500013
1245,121,74,68.7,-31.21373748779297,151552,-26.351393735408784,148.81408138275145,0.00047342151111111114,0.2,43.584617614746094,0.42841796875,1.1428216695785522,730,0.7476202249526978,-0.08452305286191404,0.06908981
1241,123,75,69.89,-29.714536666870117,153600,-26.378769838809966,153.96905093193055,0.0004730574222222222,0.2,39.720394134521484,0.403369140625,1.1460283994674683,740,0.7571138143539429,-0.08112828318262473,0.061469063
1241,125,76,69.33,-30.561765670776367,155648,-26.41553803682327,156.81293573379517,0.0004726933333333333,0.2,49.596412658691406,0.427197265625,1.1486061811447144,750,0.7356210947036743,-0.08503225100575947,0.06578542
1242,126,77,71.1,-28.02398109436035,157696,-26.449885511398314,114.82849881649017,0.00047232924444444446,0.2,28.530542373657227,0.440478515625,1.1502907276153564,760,0.8208329081535339,-0.07807461440679617,0.07096927
1241,128,78,70.67,-28.45322036743164,159744,-26.501357316970825,122.31823019981384,0.00047196515555555555,0.2,32.254547119140625,0.458837890625,1.1555521488189697,770,0.8136090040206909,-0.08072943956940434,0.075459845
1241,130,79,69.44,-29.832448959350586,161792,-26.554774272441865,156.1477499961853,0.0004716010666666667,0.2,42.227195739746094,0.421875,1.1573522090911865,780,0.7576884627342224,-0.08141411354299635,0.06528348
1241,131,80,68.28,-31.17914390563965,163840,-26.57096211910248,112.96211755275726,0.0004712369777777778,0.2,34.82724380493164,0.410693359375,1.158163070678711,790,0.8282822966575623,-0.079654220683733,0.07302685
1242,133,81,67.04,-32.668418884277344,165888,-26.59634338617325,143.51259002685546,0.00047087288888888893,0.2,44.21196746826172,0.433056640625,1.1613324880599976,800,0.805255651473999,-0.08166929445578716,0.06687238
1242,135,82,68.37,-30.698637008666992,167936,-26.631535971164702,148.7083390712738,0.0004705088,0.2,49.242393493652344,0.459375,1.1632322072982788,810,0.775865912437439,-0.07998370509012602,0.08198937
1242,136,83,69.36,-29.059141159057617,169984,-26.65461617708206,140.28678152561187,0.00047014471111111116,0.2,44.74235534667969,0.421142578125,1.1652899980545044,820,0.7877333164215088,-0.0792257123044692,0.06633986
1237,138,84,70.27,-27.99749755859375,172032,-26.685593640804292,113.23713645935058,0.00046978062222222225,0.2,40.036293029785156,0.441357421875,1.1671274900436401,830,0.8443533778190613,-0.08111578479874879,0.06709023
1237,140,85,71.79,-25.913084030151367,174080,-26.686569249629976,117.0854798078537,0.0004694165333333334,0.2,36.54218292236328,0.433837890625,1.165866494178772,840,0.8093057870864868,-0.07597828556899913,0.07176328
